"","Var1","Freq","ldia","udia","di","numberprob","numberprob_cum","massprob","massprob_cum","Freq_cum"
"1","19.9,23.9",806,19.9,23.9,21.9,0.161264505802321,0.161264505802321,0.0230630511122331,0.0230630511122331,806
"2","23.9,27.9",1036,23.9,27.9,25.9,0.207282913165266,0.368547418967587,0.0490352532712468,0.0720983043834799,1842
"3","27.9,31.9",716,27.9,31.9,29.9,0.143257302921168,0.511804721888756,0.0521405925563141,0.124238896939794,2558
"4","31.9,35.9",541,31.9,35.9,33.9,0.108243297318928,0.620048019207683,0.0574176924697478,0.181656589409542,3099
"5","35.9,39.9",446,35.9,39.9,37.9,0.0892356942777111,0.709283713485394,0.0661457376119769,0.247802327021519,3545
"6","39.9,43.9",300,39.9,43.9,41.9,0.0600240096038415,0.769307723089236,0.0601191316066792,0.307921458628198,3845
"7","43.9,47.9",205,43.9,47.9,45.9,0.041016406562625,0.810324129651861,0.0540059105575799,0.361927369185778,4050
"8","47.9,51.9",177,47.9,51.9,49.9,0.0354141656662665,0.845738295318127,0.059913443112081,0.421840812297859,4227
"9","51.9,55.9",170,51.9,55.9,53.9,0.0340136054421769,0.879751900760304,0.0725211349407235,0.494361947238582,4397
"10","55.9,59.9",145,55.9,59.9,57.9,0.0290116046418567,0.908763505402161,0.0766748735755838,0.571036820814166,4542
"11","59.9,63.9",160,59.9,63.9,61.9,0.0320128051220488,0.94077631052421,0.103381137139135,0.674417957953301,4702
"12","63.9,67.9",118,63.9,67.9,65.9,0.023609443777511,0.964385754301721,0.0919999573992846,0.766417915352586,4820
"13","67.9,71.9",52,67.9,71.9,69.9,0.0104041616646659,0.974789915966387,0.0483820477812872,0.814799963133873,4872
"14","71.9,75.9",41,71.9,75.9,73.9,0.00820328131252501,0.982993197278912,0.0450781980262104,0.859878161160083,4913
"15","75.9,79.9",27,75.9,79.9,77.9,0.00540216086434574,0.988395358143257,0.0347716670396741,0.894649828199757,4940
"16","79.9,83.9",24,79.9,83.9,81.9,0.00480192076830732,0.993197278911565,0.0359180145588291,0.930567842758587,4964
"17","83.9,87.9",13,83.9,87.9,85.9,0.00260104041616647,0.995798319327731,0.0224477190892521,0.953015561847839,4977
"18","87.9,91.9",8,87.9,91.9,89.9,0.00160064025610244,0.997398959583834,0.0158350134776269,0.968850575325465,4985
"19","91.9,95.9",7,91.9,95.9,93.9,0.00140056022408964,0.998799519807923,0.0157886207159059,0.984639196041371,4992
"20","95.9,100",6,95.9,100,97.95,0.00120048019207683,1,0.0153608039586287,1,4998
